NAME,BYTES
./collects/pkg/private/content.rkt.out.sexp,6036
./collects/pkg/private/create.rkt.out.sexp,17822
./collects/pkg/private/dep.rkt.out.sexp,1127
./collects/pkg/private/desc.rkt.out.sexp,1175
./collects/pkg/private/dirs.rkt.out.sexp,1083
./collects/pkg/private/download.rkt.out.sexp,10265
./collects/pkg/private/get-info.rkt.out.sexp,1907
./collects/pkg/private/git.rkt.out.sexp,3802
./collects/pkg/private/info-to-desc.rkt.out.sexp,3151
./collects/pkg/private/install.rkt.out.sexp,104391
./collects/pkg/private/lock.rkt.out.sexp,3077
./collects/pkg/private/metadata.rkt.out.sexp,6216
./collects/pkg/private/migrate.rkt.out.sexp,11140
./collects/pkg/private/mod-paths.rkt.out.sexp,4637
./collects/pkg/private/network.rkt.out.sexp,5080
./collects/pkg/private/new.rkt.out.sexp,3656
./collects/pkg/private/orig-pkg.rkt.out.sexp,2670
./collects/pkg/private/params.rkt.out.sexp,569
./collects/pkg/private/path.rkt.out.sexp,2926
./collects/pkg/private/pkg-db.rkt.out.sexp,17413
./collects/pkg/private/prefetch.rkt.out.sexp,9288
./collects/pkg/private/print.rkt.out.sexp,4304
./collects/pkg/private/remove.rkt.out.sexp,11672
./collects/pkg/private/repo-path.rkt.out.sexp,5789
./collects/pkg/private/show.rkt.out.sexp,15774
./collects/pkg/private/stage.rkt.out.sexp,58374
./collects/pkg/private/suggestions.rkt.out.sexp,2007
./collects/pkg/private/trash.rkt.out.sexp,4741
./collects/pkg/raco.rkt.out.sexp,41
./collects/pkg/strip.rkt.out.sexp,22573
./collects/planet/cachepath.rkt.out.sexp,119
./collects/planet/config.rkt.out.sexp,876
./collects/planet/planet-archives.rkt.out.sexp,851
./collects/planet/private/command.rkt.out.sexp,6417
./collects/planet/private/data.rkt.out.sexp,3288
./collects/planet/private/define-config.rkt.out.sexp,809
./collects/planet/private/linkage.rkt.out.sexp,471
./collects/planet/private/parsereq.rkt.out.sexp,11446
./collects/planet/private/planet-shared.rkt.out.sexp,24044
./collects/planet/private/prefix-dispatcher.rkt.out.sexp,8714
./collects/planet/private/resolver.rkt.out.sexp,24353
./collects/planet/private/short-syntax-helpers.rkt.out.sexp,6444
./collects/planet/resolver.rkt.out.sexp,44
./collects/planet/terse-info.rkt.out.sexp,1532
./collects/racket/async-channel.rkt.out.sexp,28536
./collects/racket/base/lang/reader.rkt.out.sexp,11
./collects/racket/base.rkt.out.sexp,2421
./collects/racket/block.rkt.out.sexp,6109
./collects/racket/bool.rkt.out.sexp,2416
./collects/racket/bytes.rkt.out.sexp,764
./collects/racket/class.rkt.out.sexp,82
./collects/racket/cmdline.rkt.out.sexp,32098
./collects/racket/contract/base.rkt.out.sexp,254
./collects/racket/contract/combinator.rkt.out.sexp,18027
./collects/racket/contract/parametric.rkt.out.sexp,47
./collects/racket/contract/private/and.rkt.out.sexp,13435
./collects/racket/contract/private/application-arity-checking.rkt.out.sexp,4823
./collects/racket/contract/private/arity-checking.rkt.out.sexp,9023
./collects/racket/contract/private/arr-d.rkt.out.sexp,40457
./collects/racket/contract/private/arr-i-parse.rkt.out.sexp,43861
./collects/racket/contract/private/arr-i.rkt.out.sexp,115694
./collects/racket/contract/private/arrow-common.rkt.out.sexp,19563
./collects/racket/contract/private/arrow-higher-order.rkt.out.sexp,57966
./collects/racket/contract/private/arrow-val-first.rkt.out.sexp,165452
./collects/racket/contract/private/arr-util.rkt.out.sexp,6770
./collects/racket/contract/private/base.rkt.out.sexp,15301
./collects/racket/contract/private/basic-opters.rkt.out.sexp,5526
./collects/racket/contract/private/blame.rkt.out.sexp,20406
./collects/racket/contract/private/box.rkt.out.sexp,14948
./collects/racket/contract/private/case-arrow.rkt.out.sexp,29131
./collects/racket/contract/private/ds-helpers.rkt.out.sexp,30548
./collects/racket/contract/private/ds.rkt.out.sexp,19566
./collects/racket/contract/private/exists.rkt.out.sexp,7600
./collects/racket/contract/private/generate-base.rkt.out.sexp,4296
./collects/racket/contract/private/generate.rkt.out.sexp,8584
./collects/racket/contract/private/hash.rkt.out.sexp,24532
./collects/racket/contract/private/helpers.rkt.out.sexp,5002
./collects/racket/contract/private/kwd-info-struct.rkt.out.sexp,710
./collects/racket/contract/private/legacy.rkt.out.sexp,2801
./collects/racket/contract/private/list.rkt.out.sexp,76279
./collects/racket/contract/private/misc.rkt.out.sexp,75856
