NAME,PACKEDSIZE
./cleaned_racket/collects/openssl/libcrypto.rkt.out.sexp,4997
./cleaned_racket/collects/openssl/libssl.rkt.out.sexp,4953
./cleaned_racket/collects/openssl/main.rkt.out.sexp,338
./cleaned_racket/collects/openssl/md5.rkt.out.sexp,9065
./cleaned_racket/collects/openssl/mzssl.rkt.out.sexp,828353
./cleaned_racket/collects/openssl/openssl.rkt.out.sexp,338
./cleaned_racket/collects/openssl/private/add-cert.rkt.out.sexp,96879
./cleaned_racket/collects/openssl/private/macosx.rkt.out.sexp,116074
./cleaned_racket/collects/openssl/private/win32.rkt.out.sexp,82575
./cleaned_racket/collects/openssl/sha1.rkt.out.sexp,4904
./cleaned_racket/collects/pkg/commands.rkt.out.sexp,231159
./cleaned_racket/collects/pkg/db.rkt.out.sexp,178495
./cleaned_racket/collects/pkg/dirs-catalog.rkt.out.sexp,40804
./cleaned_racket/collects/pkg/info.rkt.out.sexp,1508
./cleaned_racket/collects/pkg/lib.rkt.out.sexp,634999
./cleaned_racket/collects/pkg/main.rkt.out.sexp,458517
./cleaned_racket/collects/pkg/name.rkt.out.sexp,81430
./cleaned_racket/collects/pkg/path.rkt.out.sexp,58524
./cleaned_racket/collects/pkg/private/addl-installs.rkt.out.sexp,37587
./cleaned_racket/collects/pkg/private/archive.rkt.out.sexp,53132
./cleaned_racket/collects/pkg/private/catalog-archive.rkt.out.sexp,36469
./cleaned_racket/collects/pkg/private/catalog-copy.rkt.out.sexp,45614
./cleaned_racket/collects/pkg/private/catalog.rkt.out.sexp,74511
./cleaned_racket/collects/pkg/private/catalog-show.rkt.out.sexp,25872
./cleaned_racket/collects/pkg/private/catalog-update.rkt.out.sexp,30949
./cleaned_racket/collects/pkg/private/check-will-exist.rkt.out.sexp,13983
./cleaned_racket/collects/pkg/private/clone-path.rkt.out.sexp,102676
./cleaned_racket/collects/pkg/private/collects.rkt.out.sexp,21058
./cleaned_racket/collects/pkg/private/config.rkt.out.sexp,55976
./cleaned_racket/collects/pkg/private/content.rkt.out.sexp,21341
./cleaned_racket/collects/pkg/private/create.rkt.out.sexp,63996
./cleaned_racket/collects/pkg/private/dep.rkt.out.sexp,4335
./cleaned_racket/collects/pkg/private/desc.rkt.out.sexp,4263
./cleaned_racket/collects/pkg/private/dirs.rkt.out.sexp,4273
./cleaned_racket/collects/pkg/private/download.rkt.out.sexp,37422
./cleaned_racket/collects/pkg/private/get-info.rkt.out.sexp,7198
./cleaned_racket/collects/pkg/private/git.rkt.out.sexp,13873
./cleaned_racket/collects/pkg/private/info-to-desc.rkt.out.sexp,12519
./cleaned_racket/collects/pkg/private/install.rkt.out.sexp,373270
./cleaned_racket/collects/pkg/private/lock.rkt.out.sexp,11864
./cleaned_racket/collects/pkg/private/metadata.rkt.out.sexp,22047
./cleaned_racket/collects/pkg/private/migrate.rkt.out.sexp,40218
./cleaned_racket/collects/pkg/private/mod-paths.rkt.out.sexp,16735
./cleaned_racket/collects/pkg/private/network.rkt.out.sexp,18748
./cleaned_racket/collects/pkg/private/new.rkt.out.sexp,14761
./cleaned_racket/collects/pkg/private/orig-pkg.rkt.out.sexp,9552
./cleaned_racket/collects/pkg/private/params.rkt.out.sexp,2517
./cleaned_racket/collects/pkg/private/path.rkt.out.sexp,11028
./cleaned_racket/collects/pkg/private/pkg-db.rkt.out.sexp,64776
./cleaned_racket/collects/pkg/private/prefetch.rkt.out.sexp,34761
./cleaned_racket/collects/pkg/private/print.rkt.out.sexp,17303
./cleaned_racket/collects/pkg/private/remove.rkt.out.sexp,42492
./cleaned_racket/collects/pkg/private/repo-path.rkt.out.sexp,21012
./cleaned_racket/collects/pkg/private/show.rkt.out.sexp,55012
./cleaned_racket/collects/pkg/private/stage.rkt.out.sexp,211164
./cleaned_racket/collects/pkg/private/suggestions.rkt.out.sexp,7950
./cleaned_racket/collects/pkg/private/trash.rkt.out.sexp,17878
./cleaned_racket/collects/pkg/raco.rkt.out.sexp,301
./cleaned_racket/collects/pkg/strip.rkt.out.sexp,84436
./cleaned_racket/collects/planet/cachepath.rkt.out.sexp,668
./cleaned_racket/collects/planet/config.rkt.out.sexp,3785
./cleaned_racket/collects/planet/planet-archives.rkt.out.sexp,3563
./cleaned_racket/collects/planet/private/command.rkt.out.sexp,22273
./cleaned_racket/collects/planet/private/data.rkt.out.sexp,11742
./cleaned_racket/collects/planet/private/define-config.rkt.out.sexp,3146
./cleaned_racket/collects/planet/private/linkage.rkt.out.sexp,1874
./cleaned_racket/collects/planet/private/parsereq.rkt.out.sexp,48078
./cleaned_racket/collects/planet/private/planet-shared.rkt.out.sexp,88737
./cleaned_racket/collects/planet/private/prefix-dispatcher.rkt.out.sexp,31651
./cleaned_racket/collects/planet/private/resolver.rkt.out.sexp,96926
./cleaned_racket/collects/planet/private/short-syntax-helpers.rkt.out.sexp,22717
./cleaned_racket/collects/planet/resolver.rkt.out.sexp,338
./cleaned_racket/collects/planet/terse-info.rkt.out.sexp,5937
./cleaned_racket/collects/racket/async-channel.rkt.out.sexp,107604
./cleaned_racket/collects/racket/base/lang/reader.rkt.out.sexp,135
./cleaned_racket/collects/racket/base.rkt.out.sexp,8367
./cleaned_racket/collects/racket/block.rkt.out.sexp,22605
./cleaned_racket/collects/racket/bool.rkt.out.sexp,8137
./cleaned_racket/collects/racket/bytes.rkt.out.sexp,2779
./cleaned_racket/collects/racket/class.rkt.out.sexp,610
./cleaned_racket/collects/racket/cmdline.rkt.out.sexp,114166
./cleaned_racket/collects/racket/contract/base.rkt.out.sexp,1663
./cleaned_racket/collects/racket/contract/combinator.rkt.out.sexp,62886
./cleaned_racket/collects/racket/contract/parametric.rkt.out.sexp,375
./cleaned_racket/collects/racket/contract/private/and.rkt.out.sexp,51336
./cleaned_racket/collects/racket/contract/private/application-arity-checking.rkt.out.sexp,17951
./cleaned_racket/collects/racket/contract/private/arity-checking.rkt.out.sexp,32729
./cleaned_racket/collects/racket/contract/private/arr-d.rkt.out.sexp,145023
./cleaned_racket/collects/racket/contract/private/arr-i-parse.rkt.out.sexp,155878
./cleaned_racket/collects/racket/contract/private/arr-i.rkt.out.sexp,427439
./cleaned_racket/collects/racket/contract/private/arrow-common.rkt.out.sexp,69788
./cleaned_racket/collects/racket/contract/private/arrow-higher-order.rkt.out.sexp,213883
./cleaned_racket/collects/racket/contract/private/arrow-val-first.rkt.out.sexp,605590
./cleaned_racket/collects/racket/contract/private/arr-util.rkt.out.sexp,24181
./cleaned_racket/collects/racket/contract/private/base.rkt.out.sexp,58182
./cleaned_racket/collects/racket/contract/private/basic-opters.rkt.out.sexp,19938
./cleaned_racket/collects/racket/contract/private/blame.rkt.out.sexp,73543
./cleaned_racket/collects/racket/contract/private/box.rkt.out.sexp,54642
./cleaned_racket/collects/racket/contract/private/case-arrow.rkt.out.sexp,105560
./cleaned_racket/collects/racket/contract/private/ds-helpers.rkt.out.sexp,111231
./cleaned_racket/collects/racket/contract/private/ds.rkt.out.sexp,71082
./cleaned_racket/collects/racket/contract/private/exists.rkt.out.sexp,28173
./cleaned_racket/collects/racket/contract/private/generate-base.rkt.out.sexp,17000
./cleaned_racket/collects/racket/contract/private/generate.rkt.out.sexp,32857
./cleaned_racket/collects/racket/contract/private/hash.rkt.out.sexp,89500
./cleaned_racket/collects/racket/contract/private/helpers.rkt.out.sexp,17820
./cleaned_racket/collects/racket/contract/private/kwd-info-struct.rkt.out.sexp,2665
./cleaned_racket/collects/racket/contract/private/legacy.rkt.out.sexp,10225
./cleaned_racket/collects/racket/contract/private/list.rkt.out.sexp,283751
./cleaned_racket/collects/racket/contract/private/misc.rkt.out.sexp,282822
./cleaned_racket/collects/racket/contract/private/object.rkt.out.sexp,74841
./cleaned_racket/collects/racket/contract/private/opters.rkt.out.sexp,236804
./cleaned_racket/collects/racket/contract/private/opt-guts.rkt.out.sexp,68135
./cleaned_racket/collects/racket/contract/private/orc.rkt.out.sexp,137501
./cleaned_racket/collects/racket/contract/private/out.rkt.out.sexp,36486
./cleaned_racket/collects/racket/contract/private/parametric.rkt.out.sexp,32000
