list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
3200001,0.150838274,0.019693603,0.011176862,0.010610333,0.010554022,7.659252,13.495583,14.216168,14.292018
3300001,0.156167402,0.020274404,0.011557913,0.011063895,0.010941493,7.702688,13.511730,14.115047,14.272952
3400001,0.160598409,0.020863488,0.011809600,0.011315083,0.011046438,7.697582,13.598971,14.193304,14.538479
3500001,0.167686700,0.021180942,0.012156545,0.011401264,0.011237871,7.916867,13.793944,14.707729,14.921572
3600001,0.169567322,0.021934294,0.012339478,0.011627897,0.011485255,7.730694,13.741855,14.582802,14.763914
3700001,0.176963190,0.022453214,0.012753556,0.012056705,0.011868461,7.881419,13.875596,14.677575,14.910374
3800001,0.179955538,0.022559323,0.012824445,0.012343578,0.012218126,7.976992,14.032228,14.578880,14.728571
3900001,0.181994084,0.023477138,0.013166891,0.012565341,0.012445980,7.751971,13.822100,14.483816,14.622720
4000001,0.190002057,0.023817102,0.013551905,0.012947177,0.012830975,7.977547,14.020321,14.675173,14.808076
4100001,0.193729729,0.024924165,0.013937271,0.013333291,0.013230860,7.772767,13.900119,14.529776,14.642263
4200001,0.199739453,0.024514174,0.014292969,0.013656958,0.013506737,8.147917,13.974665,14.625472,14.788135
4300001,0.202324869,0.025159523,0.014559562,0.013896071,0.013804161,8.041681,13.896357,14.559861,14.656803
4400001,0.208677102,0.026146093,0.014897314,0.014221374,0.014126632,7.981196,14.007700,14.673484,14.771893
4500001,0.213669397,0.026773017,0.015226301,0.014571391,0.014376418,7.980774,14.032916,14.663624,14.862492
4600001,0.218493125,0.027623412,0.015634218,0.014895558,0.014729705,7.909708,13.975315,14.668341,14.833503
4700001,0.222176436,0.028306501,0.015974653,0.015288082,0.015132060,7.848954,13.908060,14.532656,14.682498
4800001,0.226382916,0.028953544,0.016356475,0.015646203,0.015457142,7.818833,13.840569,14.468872,14.645846
4900001,0.235499794,0.029541501,0.016692314,0.016034423,0.015822146,7.971829,14.108277,14.687139,14.884188
5000000,0.236850988,0.029478258,0.017013069,0.016270478,0.016081344,8.034769,13.921709,14.557101,14.728308
