list_len,indir_loop_scalar_hot_loop_seconds,indir_loop_auto_hot_loop_seconds,indir_loop_auto_hot_loop_seconds_speedup_vs_scalar,indir_loop_scalar_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds,indir_loop_vectorized_hot_loop_seconds_speedup_vs_scalar
710001,0.002480699,0.002281717,1.087207,0.002480699,0.002108160,1.176713
720001,0.002387254,0.002092484,1.140871,0.002387254,0.001961766,1.216890
730001,0.002284830,0.001987020,1.149878,0.002284830,0.001937731,1.179126
740001,0.002333145,0.002037684,1.144998,0.002333145,0.001895792,1.230697
750001,0.002721284,0.002441702,1.114503,0.002721284,0.002268973,1.199346
760001,0.002503536,0.002181244,1.147756,0.002503536,0.002076577,1.205607
770001,0.002491493,0.002161171,1.152844,0.002491493,0.002048336,1.216350
780001,0.003009476,0.002578213,1.167272,0.003009476,0.002464549,1.221106
790001,0.002126710,0.001870543,1.136948,0.002126710,0.001795075,1.184747
800001,0.002481229,0.002147753,1.155267,0.002481229,0.002119075,1.170902
810001,0.002099480,0.001749355,1.200146,0.002099480,0.001625135,1.291881
820001,0.002999488,0.002551728,1.175473,0.002999488,0.002441554,1.228516
830001,0.002297725,0.001966079,1.168684,0.002297725,0.001941464,1.183501
840001,0.002135263,0.001800377,1.186009,0.002135263,0.001674945,1.274825
850001,0.002573572,0.002297241,1.120288,0.002573572,0.002160272,1.191319
860001,0.002519584,0.002235600,1.127028,0.002519584,0.002153632,1.169923
870001,0.002439649,0.002186153,1.115955,0.002439649,0.002042836,1.194246
880001,0.002249085,0.001933783,1.163050,0.002249085,0.001833549,1.226629
890001,0.001979273,0.001709683,1.157684,0.001979273,0.001604064,1.233911
900001,0.002615384,0.002352442,1.111774,0.002615384,0.002312212,1.131118
910001,0.002875463,0.002540036,1.132056,0.002875463,0.002411979,1.192159
920001,0.001997408,0.001740980,1.147289,0.001997408,0.001679135,1.189545
930001,0.002496585,0.002168279,1.151413,0.002496585,0.002035621,1.226449
940001,0.002509537,0.002151236,1.166556,0.002509537,0.002048439,1.225097
950001,0.003221723,0.002852967,1.129254,0.003221723,0.002670201,1.206547
960001,0.002510873,0.002259431,1.111285,0.002510873,0.002171793,1.156129
970001,0.002126268,0.001852564,1.147744,0.002126268,0.001745683,1.218016
980001,0.001929524,0.001700346,1.134783,0.001929524,0.001626288,1.186459
990001,0.002976064,0.002601463,1.143996,0.002976064,0.002460320,1.209625
1000001,0.001985168,0.001715797,1.156994,0.001985168,0.001639476,1.210855
1010001,0.002339428,0.002082953,1.123131,0.002339428,0.002003149,1.167876
1020001,0.002235097,0.002027154,1.102579,0.002235097,0.001959927,1.140398
1030001,0.002375117,0.002055103,1.155717,0.002375117,0.001923496,1.234792
1040001,0.002969544,0.002620073,1.133382,0.002969544,0.002479686,1.197548
1050001,0.002298983,0.002009377,1.144127,0.002298983,0.001939765,1.185186
1060001,0.003406917,0.003240174,1.051461,0.003406917,0.003081961,1.105438
1070001,0.003052952,0.002719301,1.122697,0.003052952,0.002600824,1.173840
1080001,0.002836735,0.002683937,1.056931,0.002836735,0.002652424,1.069488
1090001,0.002666596,0.002357775,1.130980,0.002666596,0.002176394,1.225236
1100001,0.003106977,0.002907495,1.068610,0.003106977,0.002769700,1.121774
1110001,0.002496000,0.002278209,1.095597,0.002496000,0.002233432,1.117563
1120001,0.002820715,0.002462378,1.145525,0.002820715,0.002297680,1.227636
1130001,0.002609179,0.002258470,1.155286,0.002609179,0.002099976,1.242481
1140001,0.002867564,0.002586572,1.108635,0.002867564,0.002443027,1.173775
1150001,0.002182081,0.001971297,1.106926,0.002182081,0.001909012,1.143042
1160001,0.002913378,0.002618970,1.112414,0.002913378,0.002496942,1.166778
1170001,0.002935441,0.002615853,1.122174,0.002935441,0.002476401,1.185366
1180001,0.002648414,0.002409022,1.099373,0.002648414,0.002319707,1.141702
1190001,0.003063264,0.002725006,1.124131,0.003063264,0.002714164,1.128621
1200000,0.002258729,0.002114244,1.068339,0.002258729,0.002016957,1.119870
