"PROGNAME","VARIANT","ARGS","THREADS","MINTIME","MEDIANTIME","MAXTIME","GIT_DEPTH","RUNTIME_FLAGS"
"dataload","Aeson-ReadRandom","4","1","0.104524","0.104679","0.105014","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","4","1","0.219798","0.220383","0.220421","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","4","1","1.826e-3","1.972e-3","2.126e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","4","1","6.077e-3","6.187e-3","7.468e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","512","1","13.342878","13.387208","13.413853","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","512","1","27.799852","27.837122","27.926996","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","512","1","0.127074","0.127791","0.128545","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","512","1","0.976797","0.987973","19.222711","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","64","1","1.708032","1.709104","1.715954","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","64","1","3.487073","3.488768","3.489713","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","64","1","1.4456e-2","1.4488e-2","1.6065e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","64","1","0.12226","0.12237","0.122683","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
"dataload","Aeson-ReadRandom","8","1","0.207628","0.207987","0.208008","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Aeson-SearchAll","8","1","0.437481","0.437664","0.437799","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Aeson --action=SearchAll +RTS -xs1 -RTS"
"dataload","Compact-ReadRandom","8","1","2.476e-3","2.503e-3","2.876e-3","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=ReadRandom +RTS -xs1 -RTS"
"dataload","Compact-SearchAll","8","1","1.565e-2","1.5719e-2","1.6174e-2","589","+RTS -s -qa -RTS +RTS -N1 -RTS --mode=Compact --action=SearchAll +RTS -xs1 -RTS"
