depth,size,size_sratchpad,time_mkfoo,time_sumfoo
10,699K,442,0.001234,0.000188
11,2M,1K,0.002242,0.000421
12,6M,4K,0.007248,0.000785
13,19M,12K,0.022047,0.001201
14,57M,37K,0.078259,0.002618
15,170M,112K,0.204450,0.004784
16,509M,335K,0.394493,0.011290
17,1528M,1M,1.169488,0.028485
18,4584M,3M,3.520000,0.096125
19,13753M,9M,11.245212,0.226103
20,41260M,27M,32.840217,0.600076
