depth,size,size_sratchpad,time_mkfoo,time_sumfoo
10,620K,0,0.001152,0.000363
11,1M,0,0.002156,0.000567
12,5M,0,0.006901,0.001702
13,16M,0,0.021074,0.009801
14,50M,0,0.041813,0.010105
15,150M,0,0.124876,0.030469
16,451M,0,0.374526,0.091433
17,1355M,0,1.130883,0.274834
18,4067M,0,3.373882,0.828021
19,12203M,0,10.137468,2.484897
20,36611M,0,31.283882,7.464166
