list_len,recursive_seconds,loop_scalar_copy_seconds,indir_loop_scalar_seconds,indir_loop_auto_seconds,indir_loop_explicit_vector_seconds,loop_scalar_copy_speedup_vs_recursive,indir_loop_scalar_speedup_vs_recursive,indir_loop_auto_speedup_vs_recursive,indir_loop_explicit_vector_speedup_vs_recursive
1700001,0.079679387,0.010325336,0.005926180,0.005566785,0.005563954,7.716881,13.445320,14.313358,14.320641
1800001,0.085782359,0.011109089,0.006324146,0.005941140,0.005948730,7.721818,13.564260,14.438704,14.420281
1900001,0.088811614,0.011733018,0.006684341,0.006263595,0.006257725,7.569375,13.286518,14.179016,14.192317
2000001,0.092463311,0.012473109,0.007034406,0.006596930,0.006600210,7.413012,13.144438,14.016112,14.009147
2100001,0.100601054,0.012822494,0.007310291,0.006856144,0.006859564,7.845670,13.761566,14.673124,14.665809
2200001,0.103283661,0.013449544,0.007638166,0.007181979,0.007178839,7.679343,13.522050,14.380947,14.387237
2300001,0.107769500,0.014103913,0.008013592,0.007546564,0.007553894,7.641106,13.448339,14.280605,14.266748
2400001,0.114773216,0.014562531,0.008395977,0.007889170,0.007891850,7.881406,13.670025,14.548199,14.543259
2500001,0.118674565,0.015410361,0.008763692,0.008233164,0.008224394,7.700959,13.541618,14.414211,14.429582
2600001,0.122669454,0.015953810,0.009116427,0.008556179,0.008550619,7.689038,13.455870,14.336943,14.346266
2700001,0.129120803,0.016727723,0.009428593,0.008846214,0.008818653,7.718971,13.694599,14.596165,14.641783
2800001,0.131465799,0.017430044,0.009829828,0.009230620,0.009242100,7.542482,13.374171,14.242358,14.224667
2900001,0.137476305,0.017791679,0.010155294,0.009511283,0.009479553,7.727000,13.537403,14.454023,14.502404
3000001,0.142640551,0.018672863,0.010501039,0.009869040,0.009832088,7.638922,13.583470,14.453336,14.507656
3100001,0.148644730,0.018951805,0.010801603,0.010121342,0.010119193,7.843302,13.761358,14.686267,14.689386
3200001,0.153600829,0.019659487,0.011136929,0.010461948,0.010396897,7.813064,13.792027,14.681857,14.773718
3300001,0.155110807,0.019818870,0.011210519,0.010494409,0.010510219,7.826420,13.836184,14.780328,14.758095
3400001,0.160122906,0.020908937,0.011825409,0.011104708,0.010923386,7.658108,13.540581,14.419371,14.658725
3500001,0.170305673,0.021188450,0.012110112,0.011132698,0.011131938,8.037665,14.063096,15.297790,15.298834
3600001,0.173446299,0.021890162,0.012500550,0.011459473,0.011471344,7.923482,13.875093,15.135626,15.119963
3700001,0.178422218,0.022491510,0.012619211,0.011821128,0.011830429,7.932870,14.138936,15.093502,15.081636
3800001,0.180555791,0.022358408,0.012872626,0.012110463,0.012107093,8.075521,14.026337,14.909074,14.913224
3900001,0.189003591,0.023736659,0.013268621,0.012451838,0.012467948,7.962519,14.244403,15.178770,15.159158
4000001,0.190203328,0.023759689,0.013564034,0.012720332,0.012725773,8.005295,14.022622,14.952702,14.946308
4100001,0.194057349,0.024893568,0.013989832,0.013097848,0.013105298,7.795482,13.871314,14.815972,14.807550
4200001,0.199122400,0.024644262,0.014271156,0.013358452,0.013371422,8.079869,13.952787,14.906098,14.891640
4300001,0.207786270,0.025207641,0.014586620,0.013654126,0.013686367,8.242988,14.244991,15.217837,15.181989
4400001,0.210934481,0.026174245,0.014920934,0.013992391,0.014001741,8.058856,14.136815,15.074942,15.064875
4500001,0.215197479,0.026979929,0.015329652,0.014363827,0.014386858,7.976206,14.037989,14.981904,14.957921
4600001,0.222139401,0.027582377,0.015580486,0.014619461,0.014568330,8.053671,14.257540,15.194774,15.248103
4700001,0.223813491,0.028168964,0.015963781,0.014943865,0.014944255,7.945393,14.020080,14.976948,14.976557
4800001,0.244527100,0.028906875,0.016285226,0.015233630,0.015227469,8.459133,15.015272,16.051795,16.058289
4900001,0.237849058,0.029524347,0.016657072,0.015635726,0.015635767,8.056031,14.279164,15.211897,15.211857
5000000,0.236225522,0.029405396,0.016965794,0.015866969,0.015826818,8.033407,13.923635,14.887879,14.925648
